iter	Passed	Remaining
0	0	19
1	1	16
2	1	16
3	2	15
4	2	14
5	3	14
6	4	13
7	4	13
8	5	12
9	6	12
10	6	11
11	7	10
12	8	10
13	8	9
14	9	9
15	9	8
16	10	7
17	10	7
18	11	6
19	12	6
20	12	5
21	13	4
22	13	4
23	14	3
24	15	3
25	15	2
26	16	1
27	16	1
28	17	0
29	18	0
